season_year,round_number,circuit_id,driver_id,starting_grid_position,finishing_position,grid_penalty_places,grid_penalty_flag,q2_flag,q3_flag,driver_points_scored,driver_championship_rank,constructor_id,constructor_points_scored,constructor_championship_rank,rqtd_sec,rqtd_pct
2022,5,miami,max_verstappen,3,1,0,0,1,1,85,2,red_bull,151,2,0.1950000000000074,0.2196044866886071
2022,5,miami,leclerc,1,2,0,0,1,1,104,1,ferrari,157,1,0.0,0.0
2022,5,miami,sainz,2,3,0,0,1,1,53,5,ferrari,157,1,0.19000000000001194,0.21397360241453
2022,5,miami,perez,4,4,0,0,1,1,66,3,red_bull,151,2,0.2400000000000091,0.27028244515518995
2022,5,miami,russell,12,5,0,0,1,0,59,4,mercedes,95,3,1.3770000000000095,1.5507455290779015
2022,5,miami,hamilton,6,6,0,0,1,1,36,6,mercedes,95,3,0.8290000000000077,0.9336006126402285
2022,5,miami,bottas,5,7,0,0,1,1,30,8,alfa,31,5,0.679000000000002,0.7646740844182265
2022,5,miami,ocon,20,8,0,0,0,0,24,9,alpine,26,6,,
2022,5,miami,albon,18,9,0,0,0,0,3,15,williams,3,10,2.469999999999999,2.7816568313888013
2022,5,miami,stroll,0,10,-10,0,1,1,2,17,aston_martin,6,9,1.2000000000000028,1.3514122257759498
2022,5,miami,alonso,11,11,0,0,1,0,2,16,alpine,26,6,1.3640000000000043,1.5361052299653233
2022,5,miami,tsunoda,9,12,0,0,1,1,10,12,alphatauri,16,7,1.13600000000001,1.2793369070678962
2022,5,miami,ricciardo,14,13,0,0,1,0,11,11,mclaren,46,4,1.51400000000001,1.7050317581873253
2022,5,miami,latifi,19,14,0,0,0,0,0,21,williams,3,10,2.5290000000000106,2.8481012658228
2022,5,miami,mick_schumacher,15,15,0,0,1,0,0,19,haas,15,8,1.6270000000000095,1.8322897427812235
2022,5,miami,kevin_magnussen,16,16,0,0,0,0,15,10,haas,15,8,2.179000000000002,2.453939366638136
2022,5,miami,vettel,0,17,-13,0,1,0,4,14,aston_martin,6,9,1.4180000000000064,1.596918780125245
2022,5,miami,gasly,7,18,0,0,1,1,6,13,alphatauri,16,7,0.8940000000000055,1.0068021082030754
2022,5,miami,norris,8,19,0,0,1,1,35,7,mclaren,46,4,0.8380000000000081,0.9437362043335451
2022,5,miami,zhou,17,20,0,0,0,0,1,18,alfa,31,5,2.2240000000000038,2.504617325104741
2022,6,catalunya,max_verstappen,2,1,0,0,1,1,110,1,red_bull,195,1,0.3230000000000075,0.4101587301587495
2022,6,catalunya,perez,5,2,0,0,1,1,85,3,red_bull,195,1,0.6700000000000017,0.8507936507936575
2022,6,catalunya,russell,4,3,0,0,1,1,74,4,mercedes,120,3,0.6430000000000007,0.8165079365079375
2022,6,catalunya,sainz,3,4,0,0,1,1,65,5,ferrari,169,2,0.4159999999999968,0.5282539682539555
2022,6,catalunya,hamilton,6,5,0,0,1,1,46,6,mercedes,120,3,0.7620000000000005,0.9676190476190394
2022,6,catalunya,bottas,7,6,0,0,1,1,38,8,alfa,39,5,0.8580000000000041,1.089523809523807
2022,6,catalunya,ocon,12,7,0,0,1,0,30,9,alpine,34,6,1.8880000000000052,2.3974603174603315
2022,6,catalunya,norris,11,8,0,0,1,0,39,7,mclaren,50,4,1.7210000000000036,2.1853968253968237
2022,6,catalunya,alonso,20,9,3,1,0,0,4,15,alpine,34,6,2.2930000000000064,2.911746031746043
2022,6,catalunya,tsunoda,13,10,0,0,1,0,11,12,alphatauri,17,7,1.8889999999999958,2.3987301587301557
2022,6,catalunya,vettel,16,11,0,0,0,0,4,14,aston_martin,6,9,2.2040000000000077,2.7987301587301783
2022,6,catalunya,ricciardo,9,12,0,0,1,1,11,11,mclaren,50,4,1.5370000000000061,1.9517460317460378
2022,6,catalunya,gasly,14,13,0,0,1,0,6,13,alphatauri,17,7,1.968999999999994,2.500317460317447
2022,6,catalunya,mick_schumacher,10,14,0,0,1,1,0,19,haas,15,8,1.617999999999995,2.0546031746031757
2022,6,catalunya,stroll,17,15,-1,0,0,0,2,17,aston_martin,6,9,2.6680000000000064,3.3879365079365176
2022,6,catalunya,latifi,19,16,-1,0,0,0,0,21,williams,3,10,3.164999999999992,4.019047619047611
2022,6,catalunya,kevin_magnussen,8,17,0,0,1,1,15,10,haas,15,8,0.9320000000000022,1.1834920634920643
2022,6,catalunya,albon,18,18,-1,0,0,0,3,16,williams,3,10,2.894999999999996,3.6761904761904773
2022,6,catalunya,zhou,15,19,0,0,1,0,1,18,alfa,39,5,1.725999999999999,2.1917460317460336
2022,6,catalunya,leclerc,1,20,0,0,1,1,104,2,ferrari,169,2,0.0,0.0
2022,7,monaco,perez,3,1,0,0,1,1,110,3,red_bull,235,1,0.2530000000000001,0.3544608832100504
2022,7,monaco,sainz,2,2,0,0,1,1,83,5,ferrari,199,2,0.22499999999999432,0.3152320107599138
2022,7,monaco,max_verstappen,4,3,0,0,1,1,125,1,red_bull,235,1,0.28999999999999204,0.4062990360905516
2022,7,monaco,leclerc,1,4,0,0,1,1,116,2,ferrari,199,2,0.0,0.0
2022,7,monaco,russell,6,5,0,0,1,1,84,4,mercedes,134,3,0.73599999999999,1.0311589329746518
2022,7,monaco,norris,5,6,0,0,1,1,48,7,mclaren,59,4,0.472999999999999,0.6626877381753049
2022,7,monaco,alonso,7,7,0,0,1,1,10,13,alpine,40,6,0.8709999999999951,1.220298139430609
2022,7,monaco,hamilton,8,8,0,0,1,1,50,6,mercedes,134,3,1.1839999999999975,1.6588208921766379
2022,7,monaco,bottas,12,9,0,0,1,0,40,8,alfa,41,5,1.5330000000000013,2.1477807666442583
2022,7,monaco,vettel,9,10,0,0,1,1,5,15,aston_martin,7,9,1.2369999999999948,1.7330755436000933
2022,7,monaco,gasly,17,11,0,0,0,0,6,14,alphatauri,17,7,2.283999999999992,3.1999551670029103
2022,7,monaco,ocon,10,12,0,0,1,1,30,9,alpine,40,6,1.152000000000001,1.613987895090796
2022,7,monaco,ricciardo,14,13,0,0,1,0,11,11,mclaren,59,4,1.5879999999999939,2.2248374803855553
2022,7,monaco,stroll,18,14,0,0,0,0,2,17,aston_martin,7,9,2.3019999999999925,3.225173727863706
2022,7,monaco,latifi,19,15,0,0,0,0,0,21,williams,3,10,3.027000000000001,4.240921318090107
2022,7,monaco,zhou,20,16,0,0,0,0,1,18,alfa,41,5,4.22999999999999,5.926361802286473
2022,7,monaco,tsunoda,11,17,0,0,1,0,11,12,alphatauri,17,7,1.4209999999999923,1.9908652768437562
2022,7,monaco,albon,16,18,0,0,0,0,3,16,williams,3,10,2.2349999999999994,3.1313046402152045
2022,7,monaco,mick_schumacher,15,19,0,0,1,0,0,19,haas,15,8,1.7049999999999983,2.3887581259807167
2022,7,monaco,kevin_magnussen,13,20,0,0,1,0,15,10,haas,15,8,1.5449999999999875,2.1645931405514185
2022,8,baku,max_verstappen,3,1,0,0,1,1,150,1,red_bull,279,1,0.3469999999999942,0.34234749750885474
2022,8,baku,perez,2,2,0,0,1,1,129,2,red_bull,279,1,0.28199999999998226,0.2782190037391663
2022,8,baku,russell,5,3,0,0,1,1,99,4,mercedes,161,3,1.3529999999999944,1.3348592626209799
2022,8,baku,hamilton,7,4,0,0,1,1,62,6,mercedes,161,3,1.5649999999999977,1.5440168115312902
2022,8,baku,gasly,6,5,0,0,1,1,16,10,alphatauri,27,7,1.48599999999999,1.4660760267958262
2022,8,baku,vettel,9,6,0,0,1,1,13,14,aston_martin,15,9,1.7319999999999993,1.7087777109087599
2022,8,baku,alonso,10,7,0,0,1,1,16,11,alpine,47,5,1.813999999999993,1.7896782722797155
2022,8,baku,ricciardo,12,8,0,0,1,0,15,13,mclaren,65,4,2.214999999999989,2.1853017492279747
2022,8,baku,norris,11,9,0,0,1,0,50,7,mclaren,65,4,2.0389999999999873,2.0116615199439414
2022,8,baku,ocon,13,10,0,0,1,0,31,9,alpine,47,5,2.225999999999999,2.1961542635582365
2022,8,baku,bottas,15,11,0,0,1,0,40,8,alfa,41,6,3.0849999999999937,3.0436369735297175
2022,8,baku,albon,17,12,0,0,0,0,3,16,williams,3,10,3.359999999999985,3.314949831786018
2022,8,baku,tsunoda,8,13,0,0,1,1,11,15,alphatauri,27,7,1.6969999999999885,1.6742469834942986
2022,8,baku,mick_schumacher,20,14,0,0,0,0,0,19,haas,15,8,4.415999999999997,4.356791207490196
2022,8,baku,latifi,18,15,0,0,0,0,0,21,williams,3,10,4.007999999999981,3.954261585059027
2022,8,baku,stroll,19,16,0,0,0,0,2,17,aston_martin,15,9,4.0120000000000005,3.958207953906423
2022,8,baku,kevin_magnussen,16,17,0,0,0,0,15,12,haas,15,8,3.283999999999992,3.23996882368609
2022,8,baku,zhou,14,18,0,0,1,0,1,18,alfa,41,6,2.417999999999992,2.3855799682317214
2022,8,baku,leclerc,1,19,0,0,1,1,116,3,ferrari,199,2,0.0,0.0
2022,8,baku,sainz,4,20,0,0,1,1,83,5,ferrari,199,2,0.4549999999999841,0.4488994563876858
2022,9,villeneuve,max_verstappen,1,1,0,0,1,1,175,1,red_bull,304,1,0.0,0.0
2022,9,villeneuve,sainz,3,2,0,0,1,1,102,5,ferrari,228,2,0.796999999999997,0.9803318614004963
2022,9,villeneuve,hamilton,4,3,0,0,1,1,77,6,mercedes,188,3,1.5919999999999845,1.9582036679417714
2022,9,villeneuve,russell,8,4,0,0,1,1,111,4,mercedes,188,3,2.2579999999999956,2.777401936063173
2022,9,villeneuve,leclerc,19,5,4,1,1,0,126,3,ferrari,228,2,11.709000000000003,14.40239117332316
2022,9,villeneuve,ocon,7,6,0,0,1,1,39,9,alpine,57,5,2.2299999999999898,2.7429611680340305
2022,9,villeneuve,bottas,11,7,0,0,1,0,46,8,alfa,51,6,5.48899999999999,6.751620561138494
2022,9,villeneuve,zhou,10,8,0,0,1,1,5,16,alfa,51,6,2.7309999999999945,3.3592049102694865
2022,9,villeneuve,alonso,2,9,0,0,1,1,18,10,alpine,57,5,0.644999999999996,0.7933676920995225
2022,9,villeneuve,stroll,17,10,-1,0,0,0,3,18,aston_martin,16,8,14.23299999999999,17.50698040566303
2022,9,villeneuve,ricciardo,9,11,0,0,1,1,15,13,mclaren,65,4,2.4499999999999886,3.013567202548595
2022,9,villeneuve,vettel,16,12,-1,0,0,0,13,14,aston_martin,16,8,13.212999999999994,16.252352427459126
2022,9,villeneuve,albon,12,13,0,0,1,0,3,17,williams,3,10,5.5589999999999975,6.837722481211328
2022,9,villeneuve,gasly,15,14,-1,0,0,0,16,11,alphatauri,27,7,13.192999999999984,16.22775187886687
2022,9,villeneuve,norris,14,15,0,0,1,0,50,7,mclaren,65,4,12.766999999999996,15.703760193852311
2022,9,villeneuve,latifi,18,16,-1,0,0,0,0,21,williams,3,10,14.36099999999999,17.664423916653327
2022,9,villeneuve,kevin_magnussen,5,17,0,0,1,1,15,12,haas,15,9,1.6610000000000014,2.043075560585006
2022,9,villeneuve,tsunoda,20,18,0,0,0,0,11,15,alphatauri,27,7,15.275999999999996,18.789899014748013
2022,9,villeneuve,mick_schumacher,6,19,0,0,1,1,0,19,haas,15,9,2.056999999999988,2.530166422711222
2022,9,villeneuve,perez,13,20,0,0,1,0,129,2,red_bull,304,1,11.828000000000003,14.548764437446948
2022,10,silverstone,sainz,1,1,0,0,1,1,127,4,ferrari,265,2,1.061000000000007,1.070322509053856
2022,10,silverstone,perez,4,2,0,0,1,1,147,2,red_bull,328,1,1.3920000000000101,1.4042308507096868
2022,10,silverstone,hamilton,5,3,0,0,1,1,93,6,mercedes,204,3,1.2990000000000066,1.3104137033562502
2022,10,silverstone,leclerc,3,4,0,0,1,1,138,3,ferrari,265,2,0.717000000000013,0.7232999424991782
2022,10,silverstone,alonso,7,5,0,0,1,1,28,10,alpine,67,5,2.4690000000000083,2.490693944254474
2022,10,silverstone,norris,6,6,0,0,1,1,58,7,mclaren,73,4,2.38600000000001,2.4069646622078444
2022,10,silverstone,max_verstappen,2,7,0,0,1,1,181,1,red_bull,328,1,0.0,0.0
2022,10,silverstone,mick_schumacher,19,8,0,0,0,0,4,17,haas,20,8,3.5790000000000077,3.6104469933117445
2022,10,silverstone,vettel,18,9,0,0,0,0,15,13,aston_martin,18,9,3.537000000000006,3.568077959023097
2022,10,silverstone,kevin_magnussen,17,10,0,0,0,0,16,12,haas,20,8,3.030000000000001,3.0566231879672
2022,10,silverstone,stroll,20,11,0,0,0,0,3,19,aston_martin,18,9,4.301000000000016,4.338790868464337
2022,10,silverstone,latifi,10,12,0,0,1,1,0,20,williams,3,10,2.8689999999999998,2.8942085565273556
2022,10,silverstone,ricciardo,14,13,0,0,1,0,15,14,mclaren,73,4,2.804000000000002,2.82863743203301
2022,10,silverstone,tsunoda,13,14,0,0,1,0,11,15,alphatauri,27,7,2.76400000000001,2.7882859708057373
2022,10,silverstone,ocon,15,15,0,0,1,0,39,9,alpine,67,5,2.600999999999999,2.623853766304518
2022,10,silverstone,gasly,11,16,0,0,1,0,16,11,alphatauri,27,7,2.551000000000016,2.573414439770416
2022,10,silverstone,bottas,12,17,0,0,1,0,46,8,alfa,51,6,2.26700000000001,2.2869190650566473
2022,10,silverstone,russell,8,18,0,0,1,1,111,5,mercedes,204,3,0.8990000000000009,0.9068990910833463
2022,10,silverstone,zhou,9,19,0,0,1,1,5,16,alfa,51,6,1.6620000000000061,1.676603213993899
2022,10,silverstone,albon,16,20,0,0,0,0,3,18,williams,3,10,2.9490000000000123,2.9749114789819453
2022,11,red_bull_ring,leclerc,2,1,0,0,1,1,170,2,ferrari,303,2,0.029000000000010573,0.04462636956790167
2022,11,red_bull_ring,max_verstappen,1,2,0,0,1,1,208,1,red_bull,359,1,0.0,0.0
2022,11,red_bull_ring,hamilton,8,3,-1,0,1,1,109,6,mercedes,237,3,0.49099999999999966,0.7555706019943376
2022,11,red_bull_ring,russell,4,4,0,0,1,1,128,5,mercedes,237,3,0.44700000000000273,0.6878616274775373
2022,11,red_bull_ring,ocon,6,5,1,1,1,1,52,8,alpine,81,5,0.7420000000000044,1.1418195248061203
2022,11,red_bull_ring,mick_schumacher,9,6,2,1,1,1,12,15,haas,34,7,1.027000000000001,1.5803890188354153
2022,11,red_bull_ring,norris,10,7,-5,0,1,0,64,7,mclaren,81,4,1.3460000000000036,2.071279084082245
2022,11,red_bull_ring,kevin_magnussen,7,8,1,1,1,1,22,11,haas,34,7,0.8950000000000102,1.3772620952850145
2022,11,red_bull_ring,ricciardo,11,9,-5,0,0,0,17,12,mclaren,81,4,1.6290000000000049,2.5067708974516822
2022,11,red_bull_ring,alonso,19,10,11,1,1,1,29,10,alpine,81,5,1.0320000000000107,1.5880832204850481
2022,11,red_bull_ring,bottas,0,11,-12,0,1,0,46,9,alfa,51,6,1.335000000000008,2.054351840453039
2022,11,red_bull_ring,albon,15,12,4,1,1,0,3,18,williams,3,10,1.2460000000000093,1.917395051089521
2022,11,red_bull_ring,stroll,12,13,-5,0,0,0,3,19,aston_martin,18,9,1.8629999999999995,2.8668595346546866
2022,11,red_bull_ring,zhou,13,14,-5,0,0,0,5,17,alfa,51,6,1.9170000000000016,2.9499569124707747
2022,11,red_bull_ring,gasly,14,15,4,1,1,1,16,13,alphatauri,27,8,1.176000000000002,1.8096762279945944
2022,11,red_bull_ring,tsunoda,16,16,2,1,1,0,11,16,alphatauri,27,8,1.4789999999999992,2.2759448479625854
2022,11,red_bull_ring,vettel,18,17,-2,0,0,0,15,14,aston_martin,18,9,2.0990000000000038,3.2300258525175485
2022,11,red_bull_ring,sainz,3,18,0,0,1,1,133,4,ferrari,303,2,0.08200000000000784,0.12618490705404994
2022,11,red_bull_ring,latifi,17,19,-2,0,0,0,0,20,williams,3,10,2.0190000000000055,3.106918626123356
2022,11,red_bull_ring,perez,5,20,-8,0,1,0,151,3,red_bull,359,1,1.159000000000006,1.7835159423858382
2022,12,ricard,max_verstappen,2,1,0,0,1,1,233,1,red_bull,396,1,0.30400000000000205,0.33453649088828197
2022,12,ricard,hamilton,4,2,0,0,1,1,127,6,mercedes,270,3,0.8930000000000007,0.982700941984338
2022,12,ricard,russell,6,3,0,0,1,1,143,5,mercedes,270,3,1.2590000000000003,1.3854652698300995
